weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Sunday;27.2.2011;21;22;25;28;41;45;31;1;EUR;8842084,10;4;EUR;103863,80;356;EUR;1273,10;795;EUR;199,50;21;28;41;22;45;25;16110;EUR;46,40;21455;EUR;16,80;272877;EUR;4,80;821637;EUR;1,10;
Wednesday;2.3.2011;3;11;17;25;28;42;32;1;EUR;1000000,00;2;EUR;58511,60;146;EUR;874,30;306;EUR;146,00;17;25;11;3;42;28;6045;EUR;34,80;6923;EUR;14,70;92328;EUR;4,00;223851;EUR;1,10;
Sunday;6.3.2011;4;16;19;32;36;37;3;JP;;1016821,30;2;EUR;69906,40;100;EUR;1525,20;245;EUR;217,80;19;36;32;4;37;16;5157;EUR;48,80;7271;EUR;16,70;87822;EUR;5,00;361361;EUR;1,10;
Wednesday;9.3.2011;12;17;20;22;27;44;10;2JP;;2259474,50;3;EUR;56954,90;168;EUR;1109,50;426;EUR;153,10;27;44;20;22;12;17;8006;EUR;38,40;11327;EUR;13,10;119653;EUR;4,50;368409;EUR;1,10;
Sunday;13.3.2011;9;14;20;25;37;42;8;3JP;;3924931,20;13;EUR;17615,40;166;EUR;1504,90;415;EUR;210,60;25;9;37;20;14;42;8022;EUR;51,30;11327;EUR;17,60;139666;EUR;5,20;538447;EUR;1,10;
Wednesday;16.3.2011;6;18;19;20;24;26;37;2;EUR;2910823,40;6;EUR;43466,30;221;EUR;1287,30;528;EUR;188,50;20;6;18;24;26;19;10934;EUR;42,90;12374;EUR;18,30;181995;EUR;4,50;483825;EUR;1,10;
Sunday;20.3.2011;7;8;22;24;29;41;30;2;EUR;504174,60;2;EUR;69324,00;128;EUR;1181,60;286;EUR;185,00;8;29;41;24;22;7;5779;EUR;43,10;7872;EUR;15,30;99934;EUR;4,40;275306;EUR;1,10;
Wednesday;23.3.2011;1;2;9;24;35;37;12;JP;;799259,50;0;;109898,10;81;EUR;1480,10;233;EUR;180,00;9;2;35;37;1;24;3852;EUR;51,30;6807;EUR;14,00;68939;EUR;5,10;234836;EUR;1,10;
Sunday;27.3.2011;17;20;22;25;32;39;43;2JP;;2079586,10;5;EUR;57188,60;152;EUR;1263,40;361;EUR;186,10;17;25;22;32;39;20;7068;EUR;44,80;9443;EUR;16,20;117450;EUR;4,70;347844;EUR;1,10;
Wednesday;30.3.2011;15;19;23;29;34;39;16;1;EUR;3495305,30;5;EUR;38932,20;195;EUR;1089,00;431;EUR;172,40;34;39;15;23;19;29;8766;EUR;39,90;11089;EUR;15,30;138505;EUR;4,40;409120;EUR;1,10;
